user_count,education,education_id,ed_list
36746,Bachelor or Higher,0,[]
36747,Some College or Associate,1,[]
36748,Bachelor or Higher,0,[]
36749,Other,4,"[['', 'Crane School of Music at SUNY Potsdam', '']]"
36750,Bachelor or Higher,0,[]
36751,Bachelor or Higher,0,[]
36752,Bachelor or Higher,0,[]
36753,Bachelor or Higher,0,[]
36754,Other,4,"[['', 'Universidad Rafael Belloso Chac\xc3\xadn', 'Started Graphic Design Career halfway, then decided to travel and expand my knowledge on my own.']]"
36755,Bachelor or Higher,0,[]
36756,High School,2,[]
36757,Bachelor or Higher,0,[]
36758,Bachelor or Higher,0,[]
36759,Bachelor or Higher,0,[]
36760,Bachelor or Higher,0,[]
36761,Bachelor or Higher,0,[]
36762,Bachelor or Higher,0,[]
36763,Bachelor or Higher,0,[]
36764,Some College or Associate,1,[]
36765,Less Than High School,3,[]
36766,Bachelor or Higher,0,[]
36767,Other,4,"[['', 'Bais Sorah Schneirer Manchester England - September 1998 - June 2000', '']]"
36768,Bachelor or Higher,0,[]
36769,Bachelor or Higher,0,[]
36770,Bachelor or Higher,0,[]
36771,Bachelor or Higher,0,[]
36772,error,error,error
36773,Some College or Associate,1,[]
36774,Bachelor or Higher,0,[]
36775,Some College or Associate,1,[]
36776,Bachelor or Higher,0,[]
36777,Bachelor or Higher,0,[]
36778,Bachelor or Higher,0,[]
36779,Bachelor or Higher,0,[]
36780,Less Than High School,3,[]
36781,Bachelor or Higher,0,[]
36782,Bachelor or Higher,0,[]
36783,Some College or Associate,1,[]
36784,Some College or Associate,1,[]
36785,Other,4,"[['', 'Youtube', ''], ['', 'Cybrary', ''], ['', 'Cybrary', ''], ['', 'Solo Learn', ''], ['', 'Penn Foster Career School', '']]"
36786,Some College or Associate,1,[]
36787,Some College or Associate,1,[]
36788,Bachelor or Higher,0,[]
36789,Bachelor or Higher,0,[]
36790,Bachelor or Higher,0,[]
36791,Bachelor or Higher,0,[]
36792,Bachelor or Higher,0,[]
36793,Bachelor or Higher,0,[]
36794,Bachelor or Higher,0,[]
36795,Some College or Associate,1,[]
36796,Bachelor or Higher,0,[]
36797,Bachelor or Higher,0,[]
36798,Bachelor or Higher,0,[]
36799,Bachelor or Higher,0,[]
36800,Bachelor or Higher,0,[]
36801,Bachelor or Higher,0,[]
36802,Some College or Associate,1,[]
36803,Some College or Associate,1,[]
36804,Bachelor or Higher,0,[]
36805,Some College or Associate,1,[]
36806,Bachelor or Higher,0,[]
36807,Less Than High School,3,[]
36808,High School,2,[]
36809,Bachelor or Higher,0,[]
36810,Bachelor or Higher,0,[]
36811,Bachelor or Higher,0,[]
36812,Bachelor or Higher,0,[]
36813,Bachelor or Higher,0,[]
36814,Bachelor or Higher,0,[]
36815,Bachelor or Higher,0,[]
36816,error,error,error
36817,Bachelor or Higher,0,[]
36818,Some College or Associate,1,[]
36819,Bachelor or Higher,0,[]
36820,Bachelor or Higher,0,[]
36821,Bachelor or Higher,0,[]
36822,Other,4,"[['', 'George Mason', '']]"
36823,Bachelor or Higher,0,[]
36824,Bachelor or Higher,0,[]
36825,Bachelor or Higher,0,[]
36826,Bachelor or Higher,0,[]
