user_count,worker_id,photo_link,est_gender,est_age_range
44652,~014c975331ce025ceb,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/44652.jpg"", 1)",male,4
5432,~01c37f127ab99525e5,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/5432.jpg"", 1)",male,5
19714,~01f3bf5684bb68bda3,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/19714.jpg"", 1)",male,3
33876,~013536213809353627,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/33876.jpg"", 1)",male,3
16274,~01aae970e0c81fb1e5,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/16274.jpg"", 1)",female,4
34229,~01ff629b299d577e00,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/34229.jpg"", 1)",female,2
8690,~01923304706b3d32ea,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/8690.jpg"", 1)",male,4
7507,~016cf1cf1d6b0a5da0,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/7507.jpg"", 1)",female,5
62,~016671e0bd40f34a29,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/62.jpg"", 1)",male,5
35707,~0157bb36f1c49fda22,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/35707.jpg"", 1)",female,3
9494,~0103db1555653ed570,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/9494.jpg"", 1)",male,4
59,~0194f4e044ebc2a04d,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/59.jpg"", 1)",male,3
40485,~013f4cae23ff88d6e6,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/40485.jpg"", 1)",female,4
24456,~01a45728d2fad8c414,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/24456.jpg"", 1)",male,3
7486,~015e9142e9f5fc5209,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/7486.jpg"", 1)",female,3
49683,~01fcf87d6aac7c308c,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/49683.jpg"", 1)",female,5
17861,~017b592354193cf5b4,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/17861.jpg"", 1)",female,4
18318,~01f14d5d19c9f7a229,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/18318.jpg"", 1)",female,3
34618,~01c82c56f941139203,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/34618.jpg"", 1)",male,4
21074,~016eadfd6772039824,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/21074.jpg"", 1)",female,4
39805,~011e6b5524a3563fa1,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/39805.jpg"", 1)",female,3
28261,~01c369028842a6ed1d,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/28261.jpg"", 1)",female,3
54466,~01823ad151a2df3af5,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/54466.jpg"", 1)",female,3
36258,~01c0210b837dc9eef4,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/36258.jpg"", 1)",male,3
