user_count,gender,age,age_range_id
43827,female,24.0,1
43828,female,31.0,2
43829,female,35.0,3
43830,female,37.0,3
43831,male,36.0,3
43832,male,24.0,1
43833,error,error,error
43834,male,30.0,2
43835,male,28.0,2
43836,error,error,error
43837,female,37.0,3
43838,error,error,error
43839,female,27.0,2
43840,male,30.0,2
43841,female,29.0,2
43842,male,30.0,2
43843,female,29.0,2
43844,female,34.0,2
43845,male,37.0,3
43846,male,38.0,3
43847,male,33.0,2
43848,female,39.0,3
43849,male,55.0,5
43850,error,error,error
43851,error,error,error
43852,male,36.0,3
43853,female,24.0,1
43854,female,28.0,2
43855,male,36.0,3
43856,female,43.0,3
43857,female,22.0,1
43858,male,42.0,3
43859,male,27.0,2
43860,male,23.0,1
43861,male,37.0,3
43862,female,34.0,2
43863,male,45.0,4
43864,male,36.0,3
43865,male,32.0,2
43866,male,41.0,3
43867,male,57.0,5
43868,male,35.0,3
43869,female,37.0,3
43870,male,32.0,2
43871,female,28.0,2
43872,male,43.0,3
43873,male,35.0,3
43874,female,28.0,2
43875,male,27.0,2
43876,female,23.0,1
43877,male,38.0,3
43878,female,23.0,1
43879,male,31.0,2
43880,male,24.0,1
43881,female,30.0,2
43882,female,38.0,3
43883,female,25.0,2
43884,male,31.0,2
43885,female,26.0,2
43886,male,31.0,2
43887,female,33.0,2
43888,male,29.0,2
43889,male,37.0,3
43890,male,38.0,3
43891,male,32.0,2
43892,male,35.0,3
43893,male,22.0,1
43894,male,56.0,5
43895,male,31.0,2
43896,female,33.0,2
43897,male,35.0,3
43898,female,22.0,1
43899,female,26.0,2
43900,female,36.0,3
43901,male,43.0,3
43902,male,24.0,1
43903,female,31.0,2
43904,male,27.0,2
43905,female,29.0,2
43906,female,35.0,3
43907,male,25.0,2
43908,female,30.0,2
43909,female,47.0,4
43910,male,44.0,3
43911,error,error,error
43912,male,41.0,3
43913,female,31.0,2
43914,male,35.0,3
43915,error,error,error
43916,female,25.0,2
43917,female,25.0,2
43918,male,35.0,3
43919,male,34.0,2
43920,female,34.0,2
43921,female,44.0,3
43922,male,27.0,2
43923,female,51.0,4
43924,male,44.0,3
43925,female,27.0,2
43926,male,35.0,3
43927,female,34.0,2
43928,female,27.0,2
43929,male,40.0,3
43930,male,44.0,3
43931,male,30.0,2
43932,female,24.0,1
43933,male,30.0,2
43934,male,37.0,3
43935,female,26.0,2
43936,male,35.0,3
43937,female,29.0,2
43938,female,21.0,1
43939,male,42.0,3
43940,male,28.0,2
43941,female,42.0,3
43942,male,30.0,2
43943,female,34.0,2
43944,female,26.0,2
43945,male,37.0,3
43946,female,22.0,1
43947,male,40.0,3
43948,male,42.0,3
43949,female,27.0,2
43950,male,35.0,3
43951,male,27.0,2
43952,male,41.0,3
43953,female,27.0,2
43954,male,43.0,3
43955,female,25.0,2
43956,female,25.0,2
43957,male,29.0,2
43958,male,32.0,2
43959,female,38.0,3
43960,male,42.0,3
43961,female,34.0,2
43962,male,38.0,3
43963,male,24.0,1
43964,female,35.0,3
43965,male,29.0,2
43966,male,41.0,3
43967,male,29.0,2
43968,male,37.0,3
43969,female,41.0,3
43970,male,30.0,2
43971,male,27.0,2
43972,male,45.0,4
43973,female,26.0,2
43974,male,28.0,2
43975,male,32.0,2
43976,male,37.0,3
43977,male,33.0,2
43978,female,48.0,4
43979,female,32.0,2
43980,female,29.0,2
43981,male,45.0,4
43982,male,33.0,2
43983,female,36.0,3
43984,female,33.0,2
43985,female,24.0,1
43986,female,18.0,0
43987,female,25.0,2
43988,female,34.0,2
43989,male,38.0,3
43990,female,24.0,1
43991,male,35.0,3
43992,female,26.0,2
43993,male,27.0,2
43994,male,34.0,2
43995,male,40.0,3
43996,male,33.0,2
43997,male,36.0,3
43998,female,23.0,1
43999,male,35.0,3
44000,male,36.0,3
44001,female,46.0,4
44002,male,45.0,4
44003,female,23.0,1
44004,female,16.0,0
44005,male,38.0,3
44006,male,27.0,2
44007,male,42.0,3
44008,male,38.0,3
44009,male,41.0,3
44010,male,31.0,2
44011,male,31.0,2
44012,female,47.0,4
44013,male,30.0,2
44014,male,37.0,3
44015,female,37.0,3
44016,male,39.0,3
44017,male,33.0,2
44018,male,40.0,3
44019,error,error,error
44020,male,33.0,2
44021,male,34.0,2
44022,female,30.0,2
44023,female,33.0,2
44024,female,66.0,6
44025,male,25.0,2
44026,female,38.0,3
44027,male,33.0,2
44028,male,25.0,2
44029,male,41.0,3
44030,female,27.0,2
44031,female,40.0,3
44032,male,32.0,2
44033,male,27.0,2
44034,female,40.0,3
44035,female,30.0,2
44036,female,34.0,2
44037,female,52.0,4
44038,male,41.0,3
44039,male,39.0,3
44040,female,38.0,3
44041,female,26.0,2
44042,male,28.0,2
44043,error,error,error
44044,male,32.0,2
44045,male,52.0,4
44046,male,48.0,4
44047,female,27.0,2
44048,female,38.0,3
44049,male,43.0,3
44050,male,37.0,3
44051,male,40.0,3
44052,female,31.0,2
44053,female,24.0,1
44054,male,33.0,2
44055,male,51.0,4
44056,male,27.0,2
44057,female,21.0,1
44058,male,29.0,2
44059,female,34.0,2
44060,error,error,error
44061,female,40.0,3
44062,male,39.0,3
44063,male,45.0,4
44064,female,35.0,3
44065,male,35.0,3
44066,male,24.0,1
44067,male,34.0,2
44068,male,38.0,3
44069,error,error,error
44070,female,35.0,3
44071,male,35.0,3
44072,male,38.0,3
44073,male,27.0,2
44074,male,30.0,2
44075,female,23.0,1
44076,female,35.0,3
44077,female,25.0,2
44078,female,41.0,3
44079,male,54.0,4
44080,male,28.0,2
44081,male,45.0,4
44082,male,44.0,3
44083,female,23.0,1
44084,male,41.0,3
44085,female,28.0,2
44086,male,29.0,2
44087,male,36.0,3
44088,error,error,error
44089,female,51.0,4
44090,female,23.0,1
44091,male,35.0,3
44092,female,31.0,2
44093,female,32.0,2
44094,female,30.0,2
44095,male,27.0,2
44096,female,35.0,3
44097,male,37.0,3
44098,male,38.0,3
44099,male,33.0,2
44100,male,36.0,3
44101,male,38.0,3
44102,male,46.0,4
44103,female,38.0,3
44104,male,29.0,2
44105,female,36.0,3
44106,male,24.0,1
44107,female,22.0,1
44108,female,37.0,3
44109,male,35.0,3
44110,female,29.0,2
44111,error,error,error
44112,female,26.0,2
44113,male,27.0,2
44114,male,30.0,2
44115,female,19.0,0
44116,male,57.0,5
44117,female,26.0,2
44118,male,31.0,2
44119,female,36.0,3
44120,female,21.0,1
44121,female,36.0,3
44122,female,37.0,3
44123,female,36.0,3
44124,male,34.0,2
44125,male,34.0,2
44126,error,error,error
44127,male,53.0,4
44128,male,60.0,5
44129,male,32.0,2
44130,male,32.0,2
44131,female,24.0,1
44132,male,29.0,2
44133,male,48.0,4
44134,male,40.0,3
44135,female,32.0,2
44136,male,33.0,2
44137,male,21.0,1
44138,male,33.0,2
44139,male,34.0,2
44140,male,37.0,3
44141,female,26.0,2
