user_count,worker_id,photo_link,est_gender,est_age_range
33561,~019257be973a970c92,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/33561.jpg"", 1)",male,3
11571,~012612c6b7d6107970,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/11571.jpg"", 1)",male,3
6173,~014152e645c61a5d74,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/6173.jpg"", 1)",male,3
37530,~015520d0ff378644ca,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/37530.jpg"", 1)",female,3
15922,~018429554172ef465b,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/15922.jpg"", 1)",female,3
45655,~011f2c343237bfa7c6,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/45655.jpg"", 1)",female,4
424,~012ffaf72279cbb192,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/424.jpg"", 1)",female,4
18412,~018a660f982a556167,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/18412.jpg"", 1)",female,3
33107,~01771be07e3b2f5812,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/33107.jpg"", 1)",male,2
29862,~0116b3cb1443724184,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/29862.jpg"", 1)",male,1
52475,~01af8262981a12bd86,"=IMAGE(""https://raw.githubusercontent.com/efoongch/upwork-pay-by-gender/master/resized_profile_photos/resized_images_unitedstates_allskills_2017_12_12/52475.jpg"", 1)",female,5
