user_count,skilltest_tenure
570,"[1748, 58, 4]"
571,None
572,"[1766, 58, 4]"
573,"[3057, 101, 8]"
574,"[1882, 62, 5]"
575,"[2307, 76, 6]"
576,"[2503, 83, 6]"
577,"[1503, 50, 4]"
578,"[2033, 67, 5]"
579,"[3469, 115, 9]"
580,"[1734, 57, 4]"
581,"[2218, 73, 6]"
582,"[1951, 65, 5]"
583,"[2538, 84, 6]"
584,"[1769, 58, 4]"
585,"[1693, 56, 4]"
586,"[3501, 116, 9]"
587,"[1963, 65, 5]"
588,"[1956, 65, 5]"
589,"[1726, 57, 4]"
590,None
591,"[1868, 62, 5]"
592,"[2925, 97, 8]"
593,"[906, 30, 2]"
594,"[1994, 66, 5]"
595,"[2193, 73, 6]"
596,"[692, 23, 1]"
597,"[2137, 71, 5]"
598,"[659, 21, 1]"
599,"[2135, 71, 5]"
600,"[2039, 67, 5]"
601,"[2052, 68, 5]"
602,"[559, 18, 1]"
603,"[991, 33, 2]"
604,"[2025, 67, 5]"
605,"[2189, 72, 5]"
606,"[2180, 72, 5]"
607,"[2159, 71, 5]"
608,"[1956, 65, 5]"
609,"[2119, 70, 5]"
610,"[565, 18, 1]"
611,"[2101, 70, 5]"
612,"[3194, 106, 8]"
613,"[3236, 107, 8]"
614,"[2600, 86, 7]"
615,None
616,"[2987, 99, 8]"
617,"[2979, 99, 8]"
618,None
619,"[2893, 96, 7]"
620,"[2896, 96, 7]"
621,"[1245, 41, 3]"
622,"[1152, 38, 3]"
623,"[1089, 36, 2]"
624,"[1129, 37, 3]"
625,None
626,"[898, 29, 2]"
627,"[1017, 33, 2]"
628,None
629,None
630,"[851, 28, 2]"
631,"[732, 24, 2]"
632,"[898, 29, 2]"
633,"[1111, 37, 3]"
634,None
635,"[374, 12, 1]"
636,"[1005, 33, 2]"
637,"[894, 29, 2]"
638,None
639,"[907, 30, 2]"
640,"[803, 26, 2]"
641,"[935, 31, 2]"
642,"[953, 31, 2]"
643,"[962, 32, 2]"
644,"[938, 31, 2]"
645,"[724, 24, 1]"
646,"[891, 29, 2]"
647,"[1073, 35, 2]"
648,"[1069, 35, 2]"
649,"[1068, 35, 2]"
650,"[1055, 35, 2]"
651,"[1047, 34, 2]"
652,"[694, 23, 1]"
653,None
654,"[784, 26, 2]"
655,"[558, 18, 1]"
656,"[1097, 36, 3]"
657,"[878, 29, 2]"
658,"[426, 14, 1]"
659,"[481, 16, 1]"
660,"[527, 17, 1]"
661,"[1078, 35, 2]"
662,"[364, 12, 0]"
663,"[1178, 39, 3]"
664,None
665,"[438, 14, 1]"
666,"[1395, 46, 3]"
667,None
668,"[1426, 47, 3]"
669,"[817, 27, 2]"
670,None
671,"[801, 26, 2]"
672,"[1588, 52, 4]"
673,"[1587, 52, 4]"
674,"[1508, 50, 4]"
675,"[1498, 49, 4]"
676,"[1488, 49, 4]"
677,"[1300, 43, 3]"
678,"[841, 28, 2]"
679,"[415, 13, 1]"
680,"[1261, 42, 3]"
681,"[1449, 48, 3]"
682,"[1805, 60, 4]"
683,"[1545, 51, 4]"
684,"[1550, 51, 4]"
685,"[1254, 41, 3]"
686,"[1781, 59, 4]"
687,"[1771, 59, 4]"
688,None
689,None
690,"[2369, 78, 6]"
691,"[2350, 78, 6]"
692,"[2446, 81, 6]"
693,None
694,"[668, 22, 1]"
695,"[566, 18, 1]"
696,"[3724, 124, 10]"
697,"[2490, 83, 6]"
698,"[2276, 75, 6]"
699,"[657, 21, 1]"
700,"[892, 29, 2]"
701,None
702,"[654, 21, 1]"
703,"[857, 28, 2]"
704,None
705,None
706,None
707,"[831, 27, 2]"
708,None
709,"[406, 13, 1]"
710,None
711,"[771, 25, 2]"
712,"[764, 25, 2]"
713,"[697, 23, 1]"
714,"[542, 18, 1]"
715,None
716,None
717,None
718,"[780, 26, 2]"
719,None
720,"[351, 11, 0]"
721,"[477, 15, 1]"
722,None
723,"[455, 15, 1]"
724,None
725,"[678, 22, 1]"
726,None
727,"[527, 17, 1]"
728,None
729,"[748, 24, 2]"
730,"[672, 22, 1]"
731,"[222, 7, 0]"
732,"[488, 16, 1]"
733,"[1469, 48, 4]"
734,"[662, 22, 1]"
735,"[725, 24, 1]"
