user_count,hr_tenure
87,"[265, 8, 0, [30.0, 110.0, 110.0, 80.0, 110.0, 90.0, 90.0, 25.0, 25.0, 15.0], 68.5, 85.0]"
88,"[296, 9, 0, [36.0, 30.0, 36.0, 30.0, 30.0, 45.0, 45.0, 45.0], 37.13, 36.0]"
89,"[71, 2, 0, [135.0, 100.0, 65.0, 15.0], 78.75, 82.5]"
90,"[120, 4, 0, [25.0, 25.0, 28.0, 31.25, 25.0, 25.0, 28.49], 26.82, 25.0]"
91,"[628, 20, 1, [30.0, 35.0, 35.0, 30.0], 32.5, 32.5]"
92,"[137, 4, 0, [15.0], 15.0, 15.0]"
93,None
94,"[1373, 45, 3, [20.0, 20.0, 20.0, 20.0, 20.0, 11.11, 5.56], 16.67, 20.0]"
95,None
96,"[164, 5, 0, [30.0, 32.0, 35.0, 30.0, 30.0, 30.0, 30.0, 20.0, 20.0, 30.0, 35.0, 29.0, 30.0, 35.0, 35.0, 45.0, 30.0, 40.0], 31.44, 30.0]"
97,"[151, 5, 0, [50.0], 50.0, 50.0]"
98,"[375, 12, 1, [40.0], 40.0, 40.0]"
99,"[0, 0, 0, [25.0, 22.22, 16.67, 16.67, 16.67, 16.67], 18.98, 16.67]"
100,"[224, 7, 0, [75.0, 5.0, 65.0, 65.0], 52.5, 65.0]"
101,"[2154, 71, 5, [62.5, 85.0, 62.5, 85.0, 40.0, 16.67, 20.0], 53.1, 62.5]"
102,"[0, 0, 0, [55.0, 52.0, 55.0, 52.0, 52.0], 53.2, 52.0]"
103,"[119, 3, 0, [32.0, 25.0, 25.0, 20.0, 50.0, 25.0], 29.5, 25.0]"
104,"[716, 23, 1, [35.0, 34.0, 28.0, 21.0, 9.0, 9.0], 22.67, 24.5]"
105,"[318, 10, 0, [60.0, 50.0, 34.0, 40.0, 40.0], 44.8, 40.0]"
106,None
107,"[359, 11, 0, [70.0, 75.0, 95.0, 48.0, 80.0, 95.0, 95.0, 85.0, 95.0, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0, 85.0, 75.0, 75.0, 60.0, 60.0, 40.0, 40.0, 50.0], 75.35, 85.0]"
108,"[334, 11, 0, [100.0, 40.0, 30.0, 20.0, 15.0], 41.0, 30.0]"
109,None
110,"[326, 10, 0, [40.0, 50.0, 65.0, 40.0, 65.0], 52.0, 50.0]"
111,None
112,"[454, 15, 1, [30.0, 30.0, 60.0, 40.0, 40.0, 40.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 20.0, 15.0], 32.5, 30.0]"
113,"[0, 0, 0, [25.0, 25.0], 25.0, 25.0]"
114,"[334, 11, 0, [20.0, 15.0, 20.0, 20.0, 20.0, 25.0], 20.0, 20.0]"
115,"[314, 10, 0, [60.0, 45.0, 45.0, 45.0, 35.0, 45.0, 35.0], 44.29, 45.0]"
116,"[836, 27, 2, [35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 38.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 37.5, 30.0, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 30.0, 33.33, 50.0, 20.0, 36.0, 25.0, 35.0, 36.0, 36.0, 36.0, 33.33, 38.0], 35.07, 35.0]"
117,"[452, 15, 1, [38.0, 45.0, 40.0, 40.0, 40.0, 40.0, 50.0], 41.86, 40.0]"
118,"[121, 4, 0, [40.0, 35.0, 45.0, 40.0, 35.0, 35.0, 30.0], 37.14, 35.0]"
119,"[0, 0, 0, [46.0, 50.0], 48.0, 48.0]"
120,None
121,"[262, 8, 0, [40.0, 45.0, 40.0, 45.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0], 41.0, 40.0]"
122,"[94, 3, 0, [35.0, 20.0, 25.0, 20.0], 25.0, 22.5]"
123,None
124,"[350, 11, 0, [20.0, 60.0, 25.0, 50.0, 50.0, 50.0, 50.0, 50.0], 44.38, 50.0]"
125,"[103, 3, 0, [42.0, 38.0, 37.0, 37.0], 38.5, 37.5]"
126,"[223, 7, 0, [99.0, 99.0, 99.0, 99.0, 99.0, 99.0, 99.0, 99.0, 99.0, 99.0, 99.0, 99.0, 99.0], 99.0, 99.0]"
127,"[383, 12, 1, [25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0], 25.0, 25.0]"
128,"[0, 0, 0, [150.0, 150.0], 150.0, 150.0]"
129,"[650, 21, 1, [75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 75.0, 70.0, 75.0, 30.0, 40.0, 30.0, 20.0], 65.75, 75.0]"
130,"[202, 6, 0, [15.0], 15.0, 15.0]"
131,None
132,"[51, 1, 0, [25.0, 25.0, 25.0, 25.0, 25.0, 25.0], 25.0, 25.0]"
133,"[0, 0, 0, [35.0], 35.0, 35.0]"
134,"[131, 4, 0, [24.0, 25.0, 25.0, 25.0, 24.0, 15.0], 23.0, 24.5]"
135,"[80, 2, 0, [37.5, 37.5, 37.5, 37.5], 37.5, 37.5]"
136,"[1038, 34, 2, [25.0, 20.0, 26.0, 18.0, 26.0, 26.0, 26.0, 26.0, 25.0, 25.0, 25.0, 25.0, 35.0, 15.0, 25.0, 25.0, 25.0, 25.0, 7.0, 25.0, 20.0, 15.0, 15.0, 13.0, 15.0, 15.0, 13.0, 13.0, 14.0, 14.0, 14.0, 14.0, 11.11, 11.11, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 8.0, 11.0, 10.0, 20.0, 12.0, 10.0, 10.0, 8.0, 8.0, 8.0, 8.0, 3.0], 16.19, 14.0]"
137,"[232, 7, 0, [75.0, 95.0, 85.0, 65.0, 95.0, 85.0, 65.0, 75.0, 65.0], 78.33, 75.0]"
138,"[208, 6, 0, [25.0, 25.0, 25.0, 25.0, 25.0, 15.0], 23.33, 25.0]"
139,None
140,"[432, 14, 1, [125.0, 75.0, 55.0, 50.0, 35.0], 68.0, 55.0]"
141,None
142,"[688, 22, 1, [35.0, 35.0, 35.0, 45.0, 35.0, 30.0, 35.0, 15.0, 30.0, 35.0, 35.0, 25.0, 35.0, 35.0, 20.0, 35.0, 30.0, 30.0, 35.0, 35.0, 30.0, 30.0, 18.0, 20.0, 18.0, 18.0, 15.0, 30.0, 20.0, 15.0, 15.0], 28.19, 30.0]"
143,"[47, 1, 0, [50.0, 40.0, 50.0, 40.0], 45.0, 45.0]"
144,"[494, 16, 1, [30.0, 27.0, 27.0], 28.0, 27.0]"
145,"[480, 16, 1, [50.0, 50.0, 50.0, 50.0, 50.0, 45.0], 49.17, 50.0]"
146,"[399, 13, 1, [25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 20.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 30.0, 25.0, 20.0], 24.76, 25.0]"
147,"[112, 3, 0, [35.0, 40.0, 30.0, 38.0, 40.0, 40.0, 40.0, 38.0, 30.0], 36.78, 38.0]"
148,"[81, 2, 0, [65.0, 55.0, 90.0], 70.0, 65.0]"
149,"[654, 21, 1, [30.0, 35.0, 35.0, 20.0, 35.0, 30.0, 24.0, 30.0, 24.0, 30.0, 24.0, 30.0, 24.0, 24.0, 20.0, 20.0, 20.0, 18.0, 18.0, 18.0, 18.0, 20.0, 18.0, 20.0, 18.0, 18.0, 18.0, 19.25, 16.0, 19.5], 23.13, 20.0]"
150,"[456, 15, 1, [40.0, 30.0, 40.0, 40.0, 25.0, 40.0, 40.0, 35.0, 28.0, 35.0, 40.0, 40.0, 40.0], 36.38, 40.0]"
151,"[0, 0, 0, [55.0], 55.0, 55.0]"
152,"[97, 3, 0, [50.0, 75.0, 35.0], 53.33, 50.0]"
153,"[587, 19, 1, [35.0, 35.0, 30.0, 15.0], 28.75, 32.5]"
154,"[109, 3, 0, [35.0], 35.0, 35.0]"
155,"[546, 18, 1, [100.0, 80.0, 90.0, 100.0, 70.0, 75.0, 75.0, 70.0, 70.0, 60.0, 60.0, 75.0, 100.0, 70.0, 50.0, 50.0, 60.0, 25.0], 71.11, 70.0]"
156,"[489, 16, 1, [15.0, 6.0, 28.0, 25.0, 28.0, 20.0, 20.0, 20.0, 20.0, 20.0, 16.0, 20.0, 20.0, 20.0, 20.0, 20.0, 12.0, 12.0, 12.0, 10.0, 13.5, 20.0, 16.0], 17.98, 20.0]"
157,"[279, 9, 0, [14.0, 18.0], 16.0, 16.0]"
158,None
159,"[40, 1, 0, [25.0, 25.0, 10.0, 25.0, 100.0], 37.0, 25.0]"
160,"[411, 13, 1, [30.0, 30.0, 30.0, 30.0, 30.0, 30.0], 30.0, 30.0]"
161,"[33, 1, 0, [20.0, 12.5, 45.0, 28.0, 10.0, 5.0, 20.0], 20.07, 20.0]"
162,"[206, 6, 0, [40.0, 40.0, 30.0, 30.0, 35.0, 30.0, 30.0, 25.0, 30.0], 32.22, 30.0]"
163,None
164,"[123, 4, 0, [50.0, 75.0, 50.0, 100.0], 68.75, 62.5]"
165,"[654, 21, 1, [25.0], 25.0, 25.0]"
166,"[193, 6, 0, [35.0, 35.0, 35.0, 32.0], 34.25, 35.0]"
167,"[387, 12, 1, [35.0, 45.0, 35.0, 35.0, 35.0, 35.0, 35.0, 35.0, 22.5], 34.72, 35.0]"
168,"[1546, 51, 4, [61.0, 59.0, 63.0, 61.0, 61.0, 61.0, 61.0, 61.0, 59.0, 61.0, 61.0, 61.0, 61.0, 61.0, 61.0, 61.0, 61.0, 59.0, 58.0, 58.0, 58.0, 58.0, 58.0, 58.0, 55.56, 58.0, 58.0, 55.56, 44.44, 50.0, 44.44, 44.44, 44.44, 38.89, 27.78], 56.1, 59.0]"
169,"[610, 20, 1, [75.0, 40.0, 50.0, 37.5, 37.5, 25.0, 25.0, 25.0, 20.0, 20.0, 20.0], 34.09, 25.0]"
170,"[0, 0, 0, [60.0, 75.0], 67.5, 67.5]"
171,"[0, 0, 0, [35.0], 35.0, 35.0]"
172,"[291, 9, 0, [63.0, 50.0, 50.0], 54.33, 50.0]"
173,"[420, 14, 1, [25.0], 25.0, 25.0]"
174,None
175,"[0, 0, 0, [25.0], 25.0, 25.0]"
176,"[60, 2, 0, [40.0, 40.0, 37.0, 32.0, 32.0, 25.0], 34.33, 34.5]"
177,"[0, 0, 0, [75.0, 75.0], 75.0, 75.0]"
178,"[223, 7, 0, [30.0, 30.0, 30.0, 30.0, 35.0, 35.0, 35.0, 30.0, 25.0, 25.0, 19.0, 25.0, 15.0, 10.0, 16.0, 10.0, 5.0], 23.82, 25.0]"
179,None
180,"[912, 30, 2, [5.0], 5.0, 5.0]"
181,"[719, 23, 1, [50.0, 50.0, 40.0, 40.0, 40.0, 35.0, 50.0, 40.0, 40.0, 40.0, 20.0, 40.0, 40.0, 40.0, 40.0, 40.0, 35.0, 35.0, 20.0, 35.0, 30.0, 15.0, 30.0, 15.0, 10.0, 5.56, 10.0], 32.8, 40.0]"
182,"[356, 11, 0, [40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0], 40.0, 40.0]"
183,"[675, 22, 1, [60.0, 60.0, 60.0, 60.0, 60.0, 45.0, 60.0, 60.0, 60.0, 60.0, 60.0, 55.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 60.0, 55.0, 60.0, 60.0, 60.0, 60.0, 60.0, 45.0, 45.0, 60.0, 60.0, 60.0, 45.0, 45.0, 50.0, 45.0, 45.0, 45.0, 45.0, 45.0, 30.0, 45.0, 45.0], 54.39, 60.0]"
184,"[61, 2, 0, [68.0, 55.0, 55.0, 68.0, 45.0, 55.0, 55.0, 68.0], 58.63, 55.0]"
185,"[240, 8, 0, [13.0, 25.0, 20.0, 16.0], 18.5, 18.0]"
186,None
187,"[90, 3, 0, [37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 41.0, 37.5, 37.5, 31.0, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 37.5, 31.0, 37.5, 31.0, 31.0, 41.0], 36.8, 37.5]"
188,"[102, 3, 0, [35.0, 35.0, 35.0, 35.0, 25.0, 25.0, 25.0], 30.71, 35.0]"
189,"[0, 0, 0, [40.0], 40.0, 40.0]"
190,"[30, 1, 0, [35.0, 35.0, 35.0], 35.0, 35.0]"
191,"[31, 1, 0, [50.0, 47.71, 40.0], 45.9, 47.71]"
192,"[2729, 90, 7, [27.78, 19.74, 15.0, 15.0, 19.74, 19.74, 13.33, 13.33, 13.33], 17.44, 15.0]"
193,"[826, 27, 2, [25.0, 20.0, 25.0, 25.0, 25.0, 25.0, 25.0, 100.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 20.0, 25.0, 25.0, 25.0, 37.5, 25.0, 25.0, 20.0, 25.0, 25.0, 33.33, 11.0, 33.33, 33.33, 33.33, 33.33, 33.33], 28.29, 25.0]"
194,"[170, 5, 0, [11.11, 38.0, 35.0, 38.0, 35.0, 35.0, 35.0, 40.0, 38.0], 33.9, 35.0]"
195,"[84, 2, 0, [69.0, 59.0, 49.0, 60.0], 59.25, 59.5]"
196,"[374, 12, 1, [25.0, 25.0, 25.0, 25.0, 22.22, 25.0, 35.0, 25.0], 25.9, 25.0]"
197,"[0, 0, 0, [45.0, 45.0, 30.0, 30.0], 37.5, 37.5]"
198,"[344, 11, 0, [65.0, 45.0, 90.0, 70.0, 45.0, 45.0, 40.0, 40.0], 55.0, 45.0]"
199,"[87, 2, 0, [120.0, 120.0, 120.0, 120.0, 120.0], 120.0, 120.0]"
200,"[342, 11, 0, [75.0, 25.0, 40.0, 50.0, 13.0], 40.6, 40.0]"
201,"[994, 33, 2, [65.0, 37.5, 65.0, 65.0, 45.0, 37.5, 65.0, 50.0, 50.0, 72.22, 55.56, 72.22], 56.67, 60.28]"
202,"[87, 2, 0, [36.0, 25.0, 100.0, 22.0, 25.0], 41.6, 25.0]"
203,"[675, 22, 1, [65.0, 60.0, 90.0, 90.0, 90.0, 90.0, 90.0, 50.0, 85.0, 35.0], 74.5, 87.5]"
204,"[0, 0, 0, [45.0, 45.0, 30.0, 30.0], 37.5, 37.5]"
205,"[227, 7, 0, [48.0, 45.0, 45.0, 48.0, 48.0, 48.0, 48.0, 45.0, 40.0, 30.0, 32.25, 25.0], 41.85, 45.0]"
206,"[415, 13, 1, [35.0, 38.0, 40.0, 30.0, 45.0, 20.0, 35.0, 32.0, 3.0, 25.0], 30.3, 33.5]"
207,"[468, 15, 1, [62.5, 150.0, 125.0], 112.5, 125.0]"
208,"[126, 4, 0, [75.0, 75.0, 75.0, 62.5, 50.0], 67.5, 75.0]"
209,"[864, 28, 2, [111.11, 100.0, 200.0, 111.11, 111.11, 111.11, 111.11, 111.11, 111.11, 111.11], 118.89, 111.11]"
210,"[178, 5, 0, [33.0, 43.0, 43.0, 43.0, 43.0, 43.0, 33.0, 43.0, 43.0, 43.0], 41.0, 43.0]"
211,"[264, 8, 0, [80.0, 80.0, 75.0, 80.0, 75.0, 100.0], 81.67, 80.0]"
212,"[128, 4, 0, [75.0, 75.0, 75.0, 60.0], 71.25, 75.0]"
213,"[170, 5, 0, [35.0, 40.0, 35.0, 35.0, 39.0], 36.8, 35.0]"
214,"[120, 4, 0, [30.0, 30.0], 30.0, 30.0]"
215,"[236, 7, 0, [125.0, 100.0, 100.0, 125.0, 60.0], 102.0, 100.0]"
216,"[557, 18, 1, [32.89, 35.89, 26.34, 18.34, 13.5], 25.39, 26.34]"
217,"[162, 5, 0, [50.0, 65.0, 75.0, 100.0, 75.0, 100.0, 75.0, 80.0, 75.0, 75.0, 75.0, 65.0, 45.0, 55.0, 55.0, 45.0, 75.0, 75.0, 50.0, 65.0, 75.0, 55.0, 45.0, 75.0, 65.0, 75.0, 75.0, 45.0, 65.0, 45.0, 45.0, 45.0, 45.0], 64.55, 65.0]"
218,"[110, 3, 0, [25.0, 25.0, 25.0, 25.0, 16.0, 16.0], 22.0, 25.0]"
219,"[313, 10, 0, [22.0, 22.0, 18.0, 18.0, 18.0, 18.0, 18.0, 22.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0], 18.86, 18.0]"
220,"[0, 0, 0, [20.0], 20.0, 20.0]"
221,"[109, 3, 0, [75.0], 75.0, 75.0]"
222,"[804, 26, 2, [55.0, 55.0, 55.0, 50.0, 50.0, 50.0], 52.5, 52.5]"
223,"[677, 22, 1, [49.0, 49.0], 49.0, 49.0]"
224,"[557, 18, 1, [50.0], 50.0, 50.0]"
