user_count,education,education_id
651,Bachelor or Higher,0
652,Bachelor or Higher,0
653,None,5
654,Bachelor or Higher,0
655,None,5
656,None,5
657,Bachelor or Higher,0
658,Bachelor or Higher,0
659,None,5
660,None,5
661,None,5
662,Bachelor or Higher,0
663,Bachelor or Higher,0
664,Bachelor or Higher,0
665,None,5
666,Bachelor or Higher,0
667,None,5
668,None,5
669,None,5
670,None,5
671,None,5
672,Bachelor or Higher,0
673,Bachelor or Higher,0
674,Bachelor or Higher,0
675,None,5
676,Bachelor or Higher,0
677,None,5
678,Bachelor or Higher,0
679,Bachelor or Higher,0
680,None,5
681,None,5
682,Bachelor or Higher,0
683,Bachelor or Higher,0
684,Bachelor or Higher,0
685,Bachelor or Higher,0
686,Bachelor or Higher,0
687,None,5
688,None,5
689,Bachelor or Higher,0
690,Bachelor or Higher,0
691,Bachelor or Higher,0
692,None,5
693,Bachelor or Higher,0
694,None,5
695,Bachelor or Higher,0
696,Bachelor or Higher,0
697,Bachelor or Higher,0
698,Bachelor or Higher,0
699,Bachelor or Higher,0
700,Bachelor or Higher,0
701,None,5
702,Bachelor or Higher,0
703,None,5
704,Bachelor or Higher,0
705,Bachelor or Higher,0
706,Bachelor or Higher,0
707,None,5
708,Bachelor or Higher,0
709,Bachelor or Higher,0
710,Bachelor or Higher,0
711,Bachelor or Higher,0
712,Bachelor or Higher,0
713,Bachelor or Higher,0
714,Bachelor or Higher,0
715,None,5
716,None,5
717,Bachelor or Higher,0
718,Bachelor or Higher,0
719,None,5
720,Bachelor or Higher,0
721,Bachelor or Higher,0
722,None,5
723,Bachelor or Higher,0
724,Bachelor or Higher,0
725,Bachelor or Higher,0
726,Bachelor or Higher,0
727,Bachelor or Higher,0
728,Bachelor or Higher,0
729,None,5
730,Bachelor or Higher,0
731,Bachelor or Higher,0
732,Bachelor or Higher,0
733,None,5
734,Bachelor or Higher,0
735,Bachelor or Higher,0
736,Bachelor or Higher,0
737,Bachelor or Higher,0
738,Bachelor or Higher,0
739,None,5
740,Bachelor or Higher,0
741,None,5
742,Bachelor or Higher,0
743,Bachelor or Higher,0
744,Bachelor or Higher,0
745,Bachelor or Higher,0
746,Bachelor or Higher,0
747,Bachelor or Higher,0
748,Bachelor or Higher,0
749,Bachelor or Higher,0
750,Bachelor or Higher,0
751,None,5
752,None,5
753,Bachelor or Higher,0
754,Bachelor or Higher,0
755,None,5
756,Bachelor or Higher,0
757,Bachelor or Higher,0
758,Bachelor or Higher,0
759,Bachelor or Higher,0
760,Bachelor or Higher,0
761,Bachelor or Higher,0
762,None,5
763,None,5
764,None,5
765,Bachelor or Higher,0
766,Bachelor or Higher,0
767,Bachelor or Higher,0
768,Bachelor or Higher,0
769,Bachelor or Higher,0
770,Bachelor or Higher,0
771,Bachelor or Higher,0
772,Bachelor or Higher,0
773,Bachelor or Higher,0
774,Bachelor or Higher,0
775,Bachelor or Higher,0
776,Bachelor or Higher,0
777,None,5
778,Bachelor or Higher,0
779,Bachelor or Higher,0
780,None,5
781,None,5
782,None,5
783,None,5
784,Bachelor or Higher,0
785,None,5
786,None,5
787,Bachelor or Higher,0
788,Bachelor or Higher,0
789,Bachelor or Higher,0
790,None,5
791,Bachelor or Higher,0
792,Bachelor or Higher,0
793,None,5
794,None,5
795,None,5
796,Bachelor or Higher,0
797,Bachelor or Higher,0
798,None,5
799,Bachelor or Higher,0
800,Bachelor or Higher,0
801,Bachelor or Higher,0
802,Bachelor or Higher,0
803,None,5
804,Bachelor or Higher,0
805,Bachelor or Higher,0
806,None,5
807,Bachelor or Higher,0
808,Bachelor or Higher,0
809,Bachelor or Higher,0
810,Bachelor or Higher,0
811,Bachelor or Higher,0
812,Bachelor or Higher,0
813,Bachelor or Higher,0
814,None,5
815,Bachelor or Higher,0
816,Bachelor or Higher,0
817,None,5
818,None,5
819,Bachelor or Higher,0
820,Bachelor or Higher,0
821,Bachelor or Higher,0
822,Bachelor or Higher,0
823,Bachelor or Higher,0
824,Bachelor or Higher,0
825,None,5
826,None,5
827,Bachelor or Higher,0
828,Bachelor or Higher,0
829,Bachelor or Higher,0
830,Bachelor or Higher,0
831,Bachelor or Higher,0
832,Bachelor or Higher,0
833,Bachelor or Higher,0
834,Bachelor or Higher,0
835,None,5
836,None,5
837,Bachelor or Higher,0
838,Bachelor or Higher,0
839,Bachelor or Higher,0
840,Bachelor or Higher,0
841,None,5
842,None,5
843,None,5
844,Bachelor or Higher,0
845,Bachelor or Higher,0
846,None,5
847,Bachelor or Higher,0
848,Bachelor or Higher,0
849,Bachelor or Higher,0
850,None,5
851,Bachelor or Higher,0
852,Bachelor or Higher,0
853,None,5
854,Bachelor or Higher,0
